@relation MatchSet

@attribute 'Matching Bases' numeric
@attribute 'Non-Matching Bases' numeric
@attribute 'Match Percentage' numeric
@attribute 'Base Difference' numeric
@attribute 'Query Length Difference' numeric
@attribute 'Subject Length Difference' numeric
@attribute Class {'Total Match','Partial Match','SNP','SB-IN','SB-DEL'}



@data
?,0,100,0,0,0,'Total Match'
?,0,100,0,0,0,'Total Match'
?,0,100,0,0,0,'Total Match'
?,0,100,0,0,0,'Total Match'
?,0,100,0,0,0,'Total Match'
?,0,100,0,0,0,'Total Match'
?,0,100,0,0,0,'Total Match'

?,?,99,?,?,?,'Partial Match'
?,?,99,?,?,?,'Partial Match'
?,?,99,?,?,?,'Partial Match'
?,?,99,?,?,?,'Partial Match'
?,?,99,?,?,?,'Partial Match'

?,?,98,?,?,?,'Partial Match'
?,?,98,?,?,?,'Partial Match'
?,?,98,?,?,?,'Partial Match'
?,?,98,?,?,?,'Partial Match'
?,?,98,?,?,?,'Partial Match'
?,?,98,?,?,?,'Partial Match'

?,?,97,?,?,?,'Partial Match'
?,?,97,?,?,?,'Partial Match'
?,?,97,?,?,?,'Partial Match'
?,?,97,?,?,?,'Partial Match'
?,?,97,?,?,?,'Partial Match'

?,?,96,?,?,?,'Partial Match'
?,?,96,?,?,?,'Partial Match'
?,?,96,?,?,?,'Partial Match'
?,?,96,?,?,?,'Partial Match'
?,?,96,?,?,?,'Partial Match'
?,?,96,?,?,?,'Partial Match'

?,?,95,?,?,?,'Partial Match'
?,?,95,?,?,?,'Partial Match'
?,?,95,?,?,?,'Partial Match'
?,?,95,?,?,?,'Partial Match'
?,?,95,?,?,?,'Partial Match'
?,?,95,?,?,?,'Partial Match'

?,1,?,1,0,0'SNP'
?,1,?,1,0,0'SNP'
?,1,?,1,0,0'SNP'
?,1,?,1,0,0'SNP'
?,1,?,1,0,0'SNP'
?,1,?,1,0,0'SNP'
?,1,?,1,0,0'SNP'

?,?,?,?,1,-1,'SB-DEL'
?,?,?,?,1,-1,'SB-DEL'
?,?,?,?,1,-1,'SB-DEL'
?,?,?,?,1,-1,'SB-DEL'
?,?,?,?,1,-1,'SB-DEL'
?,?,?,?,1,-1,'SB-DEL'

?,?,?,?,-1,1,'SB-IN'
?,?,?,?,-1,1,'SB-IN'
?,?,?,?,-1,1,'SB-IN'
?,?,?,?,-1,1,'SB-IN'
?,?,?,?,-1,1,'SB-IN'
?,?,?,?,-1,1,'SB-IN'


